ID;SchoolCode;SchoolName;Address;City;StateCode;ZipCode;Province;Country;PostalCode
27020;G30738;UNIV OF DEBRECEN MED & HEALTH SCI;NAGYERDEI KRT 98;DEBRECEN;FC;00000;;HUNGARY;H 4012
27021;G30783;VANCOUVER SCHOOL OF THEOLOGY;6000 IONA DRIVE;VANCOUVER;CN;00000;BRITISH COLUMBIA;CANADA;V6T 1L4
27022;G30787;UNIVERSITA COMMERCIALE L BOCCONI;VIA SARFATTI  25;MILANO;FC;00000;;ITALY;
27023;G30803;SHEFFIELD HALLAM UNIVERSITY;POND STREET;SHEFFIELD;FC;00000;;ENGLAND;
27024;G30843;UNIVERSITY OF LIMERICK;NATIONAL TECHNOLOGICAL PARK;LIMERICK;FC;00000;;IRELAND;
27025;G30887;ROYAL SCOTTISH ACAD MUSIC & DRAMA;100 RENFREW STREET;GLASGOW;FC;00000;;SCOTLAND;
27026;G30908;LAKE ERIE COLL OF OSTEOPATHIC MED;1858 W GRANDVIEW BLVD;ERIE;PA;16509;;;
27027;G30914;UNIVERSITY OF WOLLONGONG;NORTHFIELDS AVENUE;WOLLONGONG;FC;00000;;AUSTRALIA;
27028;G30917;POZNAN UNIVERSITY OF MEDICAL SCIENCES;UL. FREDRY 10;POZNAN;FC;00000;;POLAND;61- 701
27029;G30925;NOTTINGHAM TRENT UNIVERSITY;BURTON STREET;NOTTINGHAM;FC;00000;;ENGLAND;
27030;G30950;RMIT UNIVERSITY;124 LA TROBE STREET;MELBOURNE;FC;00000;;AUSTRALIA;3000
27031;G30954;BOND UNIVERSITY;C/O ACADEMIC SERVICES;GOLD COAST;FC;00000;QUEENSLAND;AUSTRALIA;4229
27032;G30959;ESSEC BUSINESS SCHOOL;1, AVENUE BERNARD-HIRSCH - BP 50105;CERGY-PONTOISE CEDEX;FC;00000;;FRANCE;F-95021
27033;G30961;LA TROBE UNIVERSITY;BUNDORA CAMPUS LA TROBE UNIVER;BUNDOORA;FC;00000;;AUSTRALIA;
27034;G31000;UNIVERSITY OF ADELAIDE (THE);**;ADELAIDE;FC;00000;;AUSTRALIA;
27035;G31025;AMERICAN UNIVERSITY OF ROME;VIA PIETRO ROSELLI 4;ROME;FC;00000;;ITALY;
27036;G31028;ROBERT GORDON UNIVERSITY (THE);SCHOOLHILL;ABERDEEN;FC;00000;;SCOTLAND;
27037;G31048;GRIFFITH UNIVERSITY;GOLD COAST CAMPUS;QUEENSLAND 4211;FC;00000;;AUSTRALIA;
